,Mark,PSINT_FP_power
2021-02-26 09:49:18.943881,0.0,0.84375
2021-02-26 09:49:19.476619,0.0,0.84375
2021-02-26 09:49:20.061293,0.0,0.78125
2021-02-26 09:49:20.574007,0.0,0.78125
2021-02-26 09:49:21.155173,0.0,0.8125
2021-02-26 09:49:21.681327,0.0,0.8125
2021-02-26 09:49:22.271636,0.0,0.8125
2021-02-26 09:49:22.809487,0.0,0.8125
2021-02-26 09:49:23.403065,0.0,0.8125
2021-02-26 09:49:23.926508,0.0,0.8125
2021-02-26 09:49:24.512199,0.0,0.8125
2021-02-26 09:49:25.033997,0.0,0.8125
2021-02-26 09:49:25.624352,0.0,0.78125
2021-02-26 09:49:26.137577,0.0,0.78125
2021-02-26 09:49:26.719256,0.0,0.8125
2021-02-26 09:49:27.240524,0.0,0.8125
2021-02-26 09:49:27.831402,0.0,0.8125
2021-02-26 09:49:28.364400,0.0,0.8125
2021-02-26 09:49:28.949848,0.0,0.71875
2021-02-26 09:49:29.462294,0.0,0.71875
2021-02-26 09:49:30.052888,0.0,0.8125
2021-02-26 09:49:30.589351,0.0,0.8125
2021-02-26 09:49:31.178861,0.0,0.8125
2021-02-26 09:49:31.691207,0.0,0.8125
2021-02-26 09:49:32.277291,0.0,0.8125
2021-02-26 09:49:32.799965,0.0,0.8125
2021-02-26 09:49:33.395862,0.0,0.8125
2021-02-26 09:49:33.925618,0.0,0.8125
2021-02-26 09:49:34.505903,0.0,0.65625
2021-02-26 09:49:35.028408,0.0,0.65625
2021-02-26 09:49:35.619029,0.0,0.65625
2021-02-26 09:49:36.219253,0.0,0.65625
2021-02-26 09:49:36.810227,0.0,0.71875
2021-02-26 09:49:37.322629,0.0,0.71875
2021-02-26 09:49:38.021981,0.0,0.8125
2021-02-26 09:49:38.535591,0.0,0.8125
2021-02-26 09:49:39.115764,0.0,0.71875
2021-02-26 09:49:39.628161,0.0,0.71875
2021-02-26 09:49:40.218688,0.0,0.84375
2021-02-26 09:49:40.736375,0.0,0.84375
2021-02-26 09:49:41.489079,0.0,0.78125
2021-02-26 09:49:42.012452,0.0,0.78125
2021-02-26 09:49:42.592517,0.0,0.65625
2021-02-26 09:49:43.115116,0.0,0.65625
2021-02-26 09:49:43.707520,0.0,0.8125
2021-02-26 09:49:44.242860,0.0,0.8125
2021-02-26 09:49:44.823212,0.0,0.65625
2021-02-26 09:49:45.336355,0.0,0.65625
2021-02-26 09:49:45.920246,0.0,0.65625
2021-02-26 09:49:46.432577,0.0,0.65625
2021-02-26 09:49:47.019373,0.0,0.8125
2021-02-26 09:49:47.542774,0.0,0.8125
2021-02-26 09:49:48.122901,0.0,0.65625
2021-02-26 09:49:48.755572,0.0,0.65625
2021-02-26 09:49:49.335953,0.0,0.65625
2021-02-26 09:49:49.858459,0.0,0.65625
2021-02-26 09:49:50.445449,0.0,0.65625
2021-02-26 09:49:51.048447,0.0,0.65625
2021-02-26 09:49:51.629424,0.0,0.65625
2021-02-26 09:49:52.141886,0.0,0.65625
2021-02-26 09:49:52.722065,0.0,0.65625
2021-02-26 09:49:53.234527,0.0,0.65625
2021-02-26 09:49:53.823000,0.0,0.65625
2021-02-26 09:49:54.352532,0.0,0.65625
2021-02-26 09:49:54.934847,0.0,0.65625
2021-02-26 09:49:55.447290,0.0,0.65625
2021-02-26 09:49:56.027397,0.0,0.6875
2021-02-26 09:49:56.549933,0.0,0.6875
2021-02-26 09:49:57.353516,0.0,0.8125
2021-02-26 09:49:57.893379,0.0,0.8125
2021-02-26 09:49:58.615490,0.0,0.84375
2021-02-26 09:49:59.134551,0.0,0.84375
2021-02-26 09:49:59.717217,0.0,0.8125
2021-02-26 09:50:00.229625,0.0,0.8125
2021-02-26 09:50:00.826700,0.0,0.8125
2021-02-26 09:50:01.339824,0.0,0.8125
2021-02-26 09:50:01.919825,0.0,0.65625
2021-02-26 09:50:02.616119,0.0,0.65625
2021-02-26 09:50:03.202379,0.0,0.71875
