,Mark,PSINT_LP_power
2021-02-26 09:50:03.780004,0.0,0.25
2021-02-26 09:50:04.365309,0.0,0.25
2021-02-26 09:50:04.889426,0.0,0.25
2021-02-26 09:50:05.471525,0.0,0.25
2021-02-26 09:50:05.983974,0.0,0.25
2021-02-26 09:50:06.569522,0.0,0.25
2021-02-26 09:50:07.084897,0.0,0.25
2021-02-26 09:50:07.681243,0.0,0.25
2021-02-26 09:50:08.217172,0.0,0.25
2021-02-26 09:50:08.959805,0.0,0.25
2021-02-26 09:50:09.503255,0.0,0.25
2021-02-26 09:50:10.120791,0.0,0.25
2021-02-26 09:50:10.633373,0.0,0.25
2021-02-26 09:50:11.222488,0.0,0.25
2021-02-26 09:50:11.752589,0.0,0.25
2021-02-26 09:50:12.339442,0.0,0.25
2021-02-26 09:50:12.859095,0.0,0.25
2021-02-26 09:50:13.445095,0.0,0.25
2021-02-26 09:50:13.960925,0.0,0.25
2021-02-26 09:50:14.546154,0.0,0.25
2021-02-26 09:50:15.069065,0.0,0.25
2021-02-26 09:50:15.655679,0.0,0.25
2021-02-26 09:50:16.172996,0.0,0.25
2021-02-26 09:50:16.769905,0.0,0.25
2021-02-26 09:50:17.282350,0.0,0.25
2021-02-26 09:50:17.862510,0.0,0.25
2021-02-26 09:50:18.374941,0.0,0.25
2021-02-26 09:50:18.954991,0.0,0.25
2021-02-26 09:50:19.467457,0.0,0.25
2021-02-26 09:50:20.063182,0.0,0.25
2021-02-26 09:50:20.576439,0.0,0.25
2021-02-26 09:50:21.156816,0.0,0.25
2021-02-26 09:50:21.669168,0.0,0.25
2021-02-26 09:50:22.257943,0.0,0.25
2021-02-26 09:50:22.773506,0.0,0.25
2021-02-26 09:50:23.494772,0.0,0.25
2021-02-26 09:50:24.021389,0.0,0.25
2021-02-26 09:50:24.601795,0.0,0.25
2021-02-26 09:50:25.114541,0.0,0.25
2021-02-26 09:50:25.704947,0.0,0.25
2021-02-26 09:50:26.222690,0.0,0.25
2021-02-26 09:50:26.808136,0.0,0.25
2021-02-26 09:50:27.320706,0.0,0.25
2021-02-26 09:50:27.906259,0.0,0.25
2021-02-26 09:50:28.434766,0.0,0.25
2021-02-26 09:50:29.020601,0.0,0.25
2021-02-26 09:50:29.533868,0.0,0.25
2021-02-26 09:50:30.125315,0.0,0.25
2021-02-26 09:50:30.864224,0.0,0.25
2021-02-26 09:50:31.463295,0.0,0.25
2021-02-26 09:50:31.985915,0.0,0.25
2021-02-26 09:50:32.578890,0.0,0.25
2021-02-26 09:50:33.097619,0.0,0.25
2021-02-26 09:50:33.696188,0.0,0.25
2021-02-26 09:50:34.256779,0.0,0.25
2021-02-26 09:50:34.840686,0.0,0.25
2021-02-26 09:50:35.352987,0.0,0.25
2021-02-26 09:50:35.945648,0.0,0.25
2021-02-26 09:50:36.473856,0.0,0.25
2021-02-26 09:50:37.061602,0.0,0.25
2021-02-26 09:50:37.574783,0.0,0.25
2021-02-26 09:50:38.155582,0.0,0.25
2021-02-26 09:50:38.668236,0.0,0.25
2021-02-26 09:50:39.248440,0.0,0.25
2021-02-26 09:50:39.771538,0.0,0.25
2021-02-26 09:50:40.374644,0.0,0.25
2021-02-26 09:50:41.072651,0.0,0.25
2021-02-26 09:50:41.659326,0.0,0.25
2021-02-26 09:50:42.176974,0.0,0.25
2021-02-26 09:50:42.757019,0.0,0.25
2021-02-26 09:50:43.269543,0.0,0.25
2021-02-26 09:50:43.849949,0.0,0.25
2021-02-26 09:50:44.372922,0.0,0.25
2021-02-26 09:50:44.969423,0.0,0.25
2021-02-26 09:50:45.487353,0.0,0.25
2021-02-26 09:50:46.205286,0.0,0.25
2021-02-26 09:50:46.734388,0.0,0.25
2021-02-26 09:50:47.320817,0.0,0.25
